pm10,so2,co,o3,no2,categori
30.0,20.0,10.0,32.0,9.0,0
27.0,22.0,12.0,29.0,8.0,0
39.0,22.0,14.0,32.0,10.0,0
34.0,22.0,14.0,38.0,10.0,0
35.0,22.0,12.0,31.0,9.0,0
46.0,23.0,16.0,32.0,9.0,0
37.0,23.0,26.0,33.0,11.0,0
41.0,26.0,20.0,30.0,11.0,0
24.0,24.0,18.0,25.0,8.0,0
34.0,31.0,25.0,23.0,8.0,0
27.0,23.0,9.0,33.0,4.0,0
33.0,26.0,12.0,36.0,8.0,0
34.0,28.0,13.0,27.0,7.0,0
29.0,22.0,13.0,36.0,8.0,0
37.0,29.0,14.0,31.0,6.0,0
47.0,30.0,15.0,33.0,9.0,0
30.0,36.0,14.0,26.0,9.0,0
40.0,36.0,18.0,28.0,15.0,0
49.0,11.0,23.0,38.0,19.0,0
38.0,12.0,21.0,35.0,20.0,0
44.0,10.0,22.0,25.0,16.0,0
31.0,7.0,8.0,41.0,5.0,0
23.0,7.0,9.0,35.0,6.0,0
47.0,7.0,16.0,45.0,8.0,0
45.0,7.0,10.0,44.0,8.0,0
41.0,7.0,11.0,44.0,6.0,0
46.0,7.0,30.0,45.0,8.0,0
43.0,8.0,19.0,32.0,9.0,0
44.0,8.0,20.0,35.0,9.0,0
34.0,7.0,11.0,34.0,5.0,0
37.0,8.0,9.0,35.0,7.0,0
32.0,8.0,7.0,35.0,9.0,0
33.0,7.0,11.0,37.0,9.0,0
41.0,7.0,10.0,44.0,7.0,0
34.0,7.0,11.0,30.0,8.0,0
39.0,8.0,12.0,26.0,8.0,0
30.0,7.0,24.0,28.0,8.0,0
34.0,7.0,9.0,40.0,7.0,0
47.0,10.0,20.0,44.0,5.0,0
50.0,14.0,31.0,44.0,12.0,0
40.0,14.0,34.0,35.0,5.0,0
45.0,36.0,25.0,46.0,5.0,0
40.0,39.0,19.0,50.0,5.0,0
50.0,38.0,18.0,47.0,6.0,0
44.0,37.0,18.0,33.0,6.0,0
36.0,38.0,20.0,30.0,5.0,0
43.0,38.0,9.0,43.0,2.0,0
32.0,32.0,11.0,48.0,6.0,0
37.0,29.0,26.0,35.0,3.0,0
25.0,17.0,17.0,47.0,7.0,0
24.0,18.0,13.0,46.0,3.0,0
34.0,24.0,15.0,50.0,4.0,0
40.0,26.0,17.0,33.0,7.0,0
43.0,16.0,19.0,45.0,8.0,0
46.0,15.0,27.0,40.0,7.0,0
46.0,16.0,24.0,44.0,7.0,0
29.0,8.0,19.0,27.0,14.0,0
37.0,10.0,24.0,28.0,12.0,0
39.0,8.0,37.0,19.0,15.0,0
24.0,8.0,29.0,21.0,14.0,0
43.0,8.0,30.0,29.0,12.0,0
50.0,9.0,26.0,32.0,18.0,0
29.0,8.0,24.0,26.0,12.0,0
35.0,7.0,18.0,33.0,12.0,0
43.0,7.0,16.0,39.0,20.0,0
24.0,5.0,18.0,28.0,12.0,0
45.0,16.0,48.0,23.0,15.0,0
38.0,8.0,27.0,17.0,11.0,0
